ISO;Symbol;Money;Name
"AED";"د.إ";"درهم";"UAE Dirham"
"AFN";"؋";"افغانۍ";"Afghani"
"ALL";"L";"Leku";"Lek"
"AMD";"դր.";"Դրամ";"Armenian Dram"
"ANG";"NAƒ";"Gulden";"Netherlands Antillian Guilder"
"AOA";"Kz";"Kwanza";"Kwanza"
"ARS";"$";"Peso";"Argentine Peso"
"AUD";"$";"Dollar";"Australian Dollar"
"AWG";"Afl.";"Florijn";"Aruban Guilder"
"AZN";"ман";"Manatı";"Azerbaijanian Manat"
"BAM";"KM";"Marka";"Convertible Marks"
"BBD";"Bds$";"Dollar";"Barbados Dollar"
"BDT";"৳";"টাকা";"Taka"
"BGN";"лв";"лев";"Bulgarian Lev"
"BHD";".د.ب";"دينار";"Bahraini Dinar"
"BIF";"FBu";"Franc";"Burundi Franc"
"BMD";"BD$";"Dollar";"Bermudian Dollar"
"BND";"B$";"Ringgit";"Brunei Dollar"
"BOB";"Bs.";"Boliviano";"Boliviano"
"BRL";"R$";"Real";"Brazilian Real"
"BSD";"B$";"Dollar";"Bahamian Dollar"
"BTN";"Nu.";"དངུལ་ཀྲམ";"Ngultrum"
"BWP";"P";"Pula";"Pula"
"BYR";"Br";"Рубель";"Belarussian Ruble"
"BZD";"BZ$";"Dollar";"Belize Dollar"
"CAD";"$";"Dollar";"Canadian Dollar"
"CDF";"F";"Franc";"Congolese Franc"
"CHF";"Fr.";"Franc";"Swiss Franc"
"CLP";"$";"Peso";"Chilean Peso"
"CNY";"¥";"人民币";"Chinese Yuan"
"COP";"Col$";"Peso";"Colombian Peso"
"CRC";"₡";"Colón";"Costa Rican Colon"
"CUP";"$";"Peso";"Cuban Peso"
"CVE";"Esc";"Escudo";"Cape Verde Escudo"
"CZK";"Kč";"Koruna";"Czech Koruna"
"DJF";"Fdj";"الفرنك";"Djibouti Franc"
"DKK";"Kr";"Krone";"Danish Krone"
"DOP";"RD$";"Peso";"Dominican Peso"
"DZD";"دج";"دينار";"Algerian Dinar"
"EEK";"KR";"Kroon";"Kroon"
"EGP";"£";"الجنيه";"Egyptian Pound"
"ERN";"Nfk";"Nakfa";"Nakfa"
"ETB";"Br";"Birr";"Ethiopian Birr"
"EUR";"€";"Euro";"Euro"
"FJD";"FJ$";"Dollar";"Fiji Dollar"
"FKP";"£";"Pound";"Falkland Islands Pound"
"GBP";"£";"Pound";"Pound Sterling"
"GEL";"lari";"ლარი";"Lari"
"GHS";"GH₵";"Cedi";"Cedi"
"GIP";"£";"Pound";"Gibraltar Pound"
"GMD";"D";"Dalasi";"Dalasi"
"GNF";"FG";"Franc";"Guinea Franc"
"GTQ";"Q";"Quetzal";"Quetzal"
"GWP";"$";"Peso";"Guinea-Bissau Peso"
"GYD";"GY$";"Dollar";"Guyana Dollar"
"HKD";"HK$";"香港圓";"Hong Kong Dollar"
"HNL";"L";"Lempira";"Lempira"
"HRK";"kn";"Kuna";"Croatian Kuna"
"HTG";"G";"Gourde";"Gourde"
"HUF";"Ft";"Forint";"Hungary Forint"
"IDR";"Rp";"Rupiah";"Rupiah"
"ILS";"₪";"שקל";"Israeli Sheqel"
"INR";"Rs";"Rupee";"Indian Rupee"
"IQD";"ع.د";"دينار";"Iraqi Dinar"
"IRR";"﷼";"﷼";"Iranian Rial"
"ISK";"kr";"Króna";"Iceland Krona"
"JMD";"$";"Dollar";"Jamaican Dollar"
"JOD";"دينار";"دينار";"Jordanian Dinar"
"JPY";"¥";"日本円";"Japan Yen"
"KES";"KSh";"Shilling";"Kenyan Shilling"
"KGS";"сом";"сом";"Som"
"KHR";"riel";"Riel";"Riel"
"KMF";"Fr.";"Franc";"Comoro Franc"
"KPW";"₩";"원";"North Korean Won"
"KRW";"₩";"원";"Won"
"KWD";"د.ك";"دينار";"Kuwaiti Dinar"
"KYD";"$";"Dollar";"Cayman Islands Dollar"
"KZT";"〒";"Теңгесі";"Tenge"
"LAK";"₭";"ກີບ";"Kip"
"LBP";"ل.ل";"ليرة,";"Lebanese Pound"
"LKR";"Rs";"Rupee";"Sri Lanka Rupee"
"LRD";"L$";"Dollar";"Liberian Dollar"
"LSL";"L";"Loti";"Loti"
"LTL";"Lt";"Litas";"Lithuanian Litas"
"LVL";"Ls";"Lats";"Latvian Lats"
"LYD";"ل.د";"دينار";"Libyan Dinar"
"MAD";"د.م";"درهم";"Moroccan Dirham"
"MDL";"leu";"Leu";"Moldovan Leu"
"MGA";"FMG";"Ariary";"Malagasy Ariary"
"MKD";"ден";"Денар";"Denar"
"MMK";"K";"Kyat";"Kyat"
"MNT";"₮";"Төгрөг";"Tugrik"
"MOP";"MOP$";"澳門圓";"Pataca"
"MRO";"UM";"أوقية";"Ouguiya"
"MUR";"Rs";"Roupie";"Mauritius Rupee"
"MVR";"Rf";"Rufiyaa";"Rufiyaa"
"MWK";"MK";"Kwacha";"Kwacha"
"MXN";"$";"Peso";"Mexican Peso"
"MYR";"RM";"ريڠڬيت";"Malaysian Ringgit"
"MZN";"MTn";"Metical";"Metical"
"NAD";"N$";"Dollar";"Namibia Dollar"
"NGN";"₦";"Naira";"Naira"
"NIO";"C$";"Córdoba";"Cordoba Oro"
"NOK";"kr";"Krone";"Norwegian Krone"
"NPR";"NRs";"Rupee";"Nepalese Rupee"
"NZD";"$";"Dollar";"New Zealand Dollar"
"OMR";"ر.ع.";"ريال";"Rial Omani"
"PAB";"B./";"Balboa";"Balboa"
"PEN";"S/.";"Sol";"Nuevo Sol"
"PGK";"K";"Kina";"Kina"
"PHP";"₱";"Piso";"Philippine Peso"
"PKR";"Rs.";"Rupee";"Pakistan Rupee"
"PLN";"zł";"Złoty";"Zloty"
"PYG";"₲";"Guaraní";"Guarani"
"QAR";"ر.ق";"ريال";"Qatari Rial"
"RON";"L";"Leu";"New Leu"
"RSD";"дин.";"Динар";"Serbian Dinar"
"RUB";"руб";"Рубль";"Russian Ruble"
"RWF";"RF";"Franc";"Rwanda Franc"
"SAR";"ر.س";"ريال";"Saudi Riyal"
"SBD";"SI$";"Dollar";"Solomon Islands Dollar"
"SCR";"SR";"Roupie";"Seychelles Rupee"
"SDG";"£";"جنيه";"Sudanese Pound"
"SEK";"kr";"Krona";"Swedish Krona"
"SGD";"S$";"新加坡元";"Singapore Dollar"
"SHP";"£";"Pound";"Saint Helena Pound"
"SLL";"Le";"Leone";"Leone"
"SOS";"So.";"Shilin";"Somali Shilling"
"SRD";"$";"Dollar";"Surinam Dollar"
"STD";"Db";"Dobra";"Dobra"
"SVC";"₡";"Colón";"Salvadoran Colon"
"SYP";"S£";"الليرة";"Syrian Pound"
"SZL";"L";"Lilangeni";"Lilangeni"
"THB";"฿";"บาทไทย";"Baht"
"TJS";"Сом";"Сомонӣ";"Somoni"
"TMT";"m";"Манат";"Manat"
"TND";"د.ت";"دينار";"Tunisian Dinar"
"TOP";"T$";"Pa'anga";"Pa'anga"
"TRY";"TL";"Lirası";"Turkish Lira"
"TTD";"$";"Dollar";"Trinidad and Tobago Dollar"
"TWD";"$";"新臺幣";"Taiwan Dollar"
"TZS";"/=";"Shilingi";"Tanzanian Shilling"
"UAH";"₴";"Гривня";"Hryvnia"
"UGX";"USh";"Shilling";"Uganda Shilling"
"USD";"$";"Dollar";"US Dollar"
"UYU";"$";"Peso";"Peso Uruguayo"
